Thu Feb 26 10:13:12 2026

Number of Points = 3589
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.154498	1.793030	0.000000	0.000805	1.052964

0.962538	1.853148	0.005005	0.000839	1.052944
1.165931	1.774211	0.010010	0.000803	1.052947
0.874925	1.886255	0.015014	0.000855	1.052942
0.789972	1.826618	0.020019	0.000870	1.052823
0.815448	1.671190	0.025024	0.000865	1.052637
0.925318	1.622698	0.030029	0.000845	1.052631
0.941054	1.392064	0.035034	0.000842	1.052343
0.831808	1.349742	0.040038	0.000862	1.052234
0.420105	1.328897	0.045043	0.000935	1.051997
0.416358	1.305540	0.050048	0.000936	1.051966
0.449716	1.063848	0.055053	0.000930	1.051673
0.650531	0.849832	0.060058	0.000894	1.051501
0.440753	0.758156	0.065062	0.000931	1.051276
0.352208	0.614714	0.070067	0.000947	1.051047
0.243720	0.449739	0.075072	0.000966	1.050780
0.167260	0.292167	0.080077	0.000980	1.050538
0.124573	0.114348	0.085082	0.000987	1.050288
-0.013712	-0.042625	0.090086	0.001012	1.050016
-0.203336	-0.154981	0.095091	0.001046	1.049774
-0.447566	-0.272977	0.100096	0.001089	1.049498
-0.385718	-0.511158	0.105101	0.001078	1.049223
-0.718270	-0.564510	0.110106	0.001137	1.048985
-0.862208	-0.661221	0.115110	0.001163	1.048787
-1.045458	-0.769584	0.120115	0.001196	1.048554
-1.179250	-0.868933	0.125120	0.001220	1.048357
-2.185608	-0.509632	0.130125	0.001399	1.048305
-2.463469	-0.391510	0.135130	0.001449	1.048315
-2.818601	-0.254580	0.140134	0.001512	1.048310
-2.103589	-0.537322	0.145139	0.001384	1.048312
-2.970548	-0.448674	0.150144	0.001539	1.047982
-2.704666	-0.434978	0.155149	0.001492	1.048137
-3.286343	-0.326228	0.160154	0.001596	1.047979
-3.629659	0.005819	0.165158	0.001657	1.048231
-2.667612	-0.515504	0.170163	0.001485	1.048053
-2.837130	-0.506783	0.175168	0.001515	1.047978
-2.961884	-0.489532	0.180173	0.001537	1.047936
-3.810947	-0.361055	0.185178	0.001689	1.047667
-4.136805	-0.088921	0.190182	0.001747	1.047851
-3.231351	-0.571766	0.195187	0.001585	1.047693
-3.438440	-0.513155	0.200192	0.001622	1.047663
-3.892765	-0.370162	0.205197	0.001703	1.047615
-4.401650	-0.378462	0.210202	0.001794	1.047343
-5.006478	0.011695	0.215206	0.001902	1.047537
-3.507010	-0.653164	0.220211	0.001634	1.047449
-4.289532	-0.421583	0.225216	0.001773	1.047346
-4.969530	-0.161143	0.230221	0.001895	1.047334
-4.636399	-0.435717	0.235226	0.001835	1.047151
-5.593886	0.060110	0.240230	0.002006	1.047299
-4.493587	-0.472248	0.245235	0.001809	1.047178
-5.198400	-0.301437	0.250240	0.001935	1.047037
-5.672746	-0.123594	0.255245	0.002020	1.047023
-4.670570	-0.513287	0.260250	0.001841	1.047035
-5.655557	-0.122730	0.265254	0.002017	1.047034
-5.482323	-0.421391	0.270259	0.001986	1.046738
-5.678512	-0.362131	0.275264	0.002021	1.046714
-5.933481	-0.266484	0.280269	0.002066	1.046707
-5.566537	-0.486955	0.285274	0.002000	1.046611
-6.884813	0.072186	0.290278	0.002236	1.046656
-5.470201	-0.600170	0.295283	0.001983	1.046515
-6.231834	-0.382855	0.300288	0.002119	1.046405
-6.867964	-0.137670	0.305293	0.002233	1.046395
-5.955343	-0.620617	0.310298	0.002069	1.046240
-7.546121	0.022161	0.315302	0.002354	1.046254
-6.756201	-0.370495	0.320307	0.002212	1.046153
-6.873130	-0.376718	0.325312	0.002233	1.046085
-7.342917	-0.192392	0.330317	0.002317	1.046082
-6.637390	-0.476474	0.335322	0.002191	1.046078
-8.127870	0.083078	0.340326	0.002457	1.046035
-6.879760	-0.486851	0.345331	0.002234	1.045941
-7.301240	-0.427470	0.350336	0.002309	1.045801
-8.453784	0.024766	0.355341	0.002515	1.045793
-7.076946	-0.558011	0.360346	0.002269	1.045749
-8.785233	0.025767	0.365350	0.002574	1.045625
-7.394444	-0.554828	0.370355	0.002325	1.045590
-7.808123	-0.480031	0.375360	0.002399	1.045475
-8.732098	-0.123440	0.380365	0.002564	1.045461
-8.028449	-0.582678	0.385370	0.002438	1.045229
-9.620871	0.067598	0.390374	0.002723	1.045251
-7.988525	-0.560263	0.395379	0.002431	1.045280
-8.097646	-0.683226	0.400384	0.002450	1.045065
-10.314223	0.140186	0.405389	0.002846	1.044990
-8.431784	-0.613759	0.410394	0.002510	1.044984
-10.039762	0.089793	0.415398	0.002797	1.045066
-9.312699	-0.313691	0.420403	0.002667	1.044919
-8.626396	-0.647474	0.425408	0.002544	1.044841
-10.193644	-0.033582	0.430413	0.002824	1.044829
-9.130306	-0.551959	0.435418	0.002634	1.044706
-10.910611	0.122154	0.440422	0.002952	1.044662
-9.544570	-0.340035	0.445427	0.002708	1.044768
-9.504126	-0.538107	0.450432	0.002700	1.044533
-11.087274	0.082667	0.455437	0.002983	1.044521
-10.218697	-0.255630	0.460442	0.002828	1.044531
-10.556526	-0.122224	0.465446	0.002888	1.044530
-10.558405	-0.233014	0.470451	0.002888	1.044386
-10.625570	-0.347064	0.475456	0.002900	1.044204
-11.488186	-0.008217	0.480461	0.003055	1.044199
-10.324977	-0.472202	0.485466	0.002846	1.044198
-11.328415	-0.219283	0.490470	0.003026	1.044009
-11.141781	-0.170330	0.495475	0.002992	1.044169
-11.209515	-0.353586	0.500480	0.003004	1.043897
-11.733736	-0.148298	0.505485	0.003098	1.043893
-11.116449	-0.385896	0.510490	0.002987	1.043904
-12.318948	-0.064146	0.515494	0.003202	1.043701
-11.605685	-0.331076	0.520499	0.003075	1.043724
-11.634645	-0.419790	0.525504	0.003080	1.043594
-12.806964	0.037967	0.530509	0.003289	1.043583
-11.686310	-0.397404	0.535514	0.003089	1.043597
-12.706802	-0.136272	0.540518	0.003271	1.043410
-12.577364	-0.054029	0.545523	0.003248	1.043584
-12.245228	-0.348248	0.550528	0.003188	1.043374
-13.468054	0.128529	0.555533	0.003407	1.043362
-12.542992	-0.243241	0.560538	0.003241	1.043357
-12.918114	-0.211885	0.565542	0.003308	1.043205
-13.354523	0.078078	0.570547	0.003386	1.043356
-12.877339	-0.333588	0.575552	0.003301	1.043069
-14.001548	0.081729	0.580557	0.003502	1.043028
-12.892242	-0.357400	0.585562	0.003303	1.043031
-13.533956	-0.261959	0.590566	0.003418	1.042825
-14.460160	0.215820	0.595571	0.003583	1.042967
-13.140343	-0.429896	0.600576	0.003347	1.042811
-14.103239	-0.124408	0.605581	0.003519	1.042710
-14.020415	-0.150854	0.610586	0.003504	1.042719
-14.546003	-0.125050	0.615590	0.003598	1.042482
-14.832270	0.166029	0.620595	0.003649	1.042712
-13.840808	-0.332860	0.625600	0.003472	1.042577
-14.943491	-0.034818	0.630605	0.003669	1.042395
-14.049858	-0.394638	0.635610	0.003509	1.042390
-15.088833	-0.204857	0.640614	0.003695	1.042100
-15.785430	0.230362	0.645619	0.003819	1.042306
-14.310659	-0.422000	0.650624	0.003555	1.042221
-15.354421	-0.112682	0.655629	0.003742	1.042084
-15.176961	-0.178418	0.660634	0.003710	1.042091
-15.528552	-0.284491	0.665638	0.003773	1.041772
-16.536636	0.237932	0.670643	0.003953	1.041930
-14.867876	-0.482349	0.675648	0.003654	1.041857
-16.211130	-0.026426	0.680653	0.003894	1.041755
-16.122574	-0.060876	0.685658	0.003878	1.041757
-15.998698	-0.248471	0.690662	0.003856	1.041578
-16.741209	0.156754	0.695667	0.003989	1.041721
-15.991536	-0.281079	0.700672	0.003854	1.041540
-16.877167	-0.001284	0.705677	0.004013	1.041446
-17.066899	0.080306	0.710682	0.004047	1.041454
-16.098392	-0.306377	0.715686	0.003873	1.041453
-17.104620	0.090162	0.720691	0.004053	1.041448
-16.377256	-0.382536	0.725696	0.003923	1.041211
-17.252019	-0.091945	0.730701	0.004079	1.041137
-17.374924	-0.042002	0.735706	0.004101	1.041138
-16.455270	-0.567190	0.740710	0.003936	1.040932
-17.910179	-0.059581	0.745715	0.004197	1.040840
-17.387331	-0.262603	0.750720	0.004103	1.040847
-18.219982	-0.103054	0.755725	0.004252	1.040624
-17.658263	-0.189384	0.760730	0.004151	1.040803
-17.639126	-0.414249	0.765734	0.004148	1.040521
-18.766484	0.028716	0.770739	0.004349	1.040514
-17.638037	-0.418692	0.775744	0.004147	1.040516
-18.461770	-0.314716	0.780749	0.004294	1.040226
-18.875447	-0.170734	0.785754	0.004368	1.040199
-18.341481	-0.378671	0.790758	0.004273	1.040206
-19.676477	0.145138	0.795763	0.004511	1.040196
-18.107581	-0.473185	0.800768	0.004230	1.040205
-18.876607	-0.367426	0.805773	0.004368	1.039945
-19.631925	0.049707	0.810778	0.004503	1.040097
-19.014339	-0.351809	0.815782	0.004392	1.039895
-19.738321	-0.071227	0.820787	0.004522	1.039885
-18.919554	-0.395881	0.825792	0.004375	1.039887
-19.483316	-0.391739	0.830797	0.004476	1.039601
-20.650452	0.067745	0.835802	0.004684	1.039595
-19.097476	-0.473720	0.840806	0.004407	1.039695
-20.585857	0.018520	0.845811	0.004673	1.039565
-20.039551	-0.184133	0.850816	0.004575	1.039585
-19.976829	-0.399851	0.855821	0.004563	1.039337
-20.829463	0.028639	0.860826	0.004716	1.039453
-20.202128	-0.374983	0.865830	0.004603	1.039254
-20.966943	-0.072135	0.870835	0.004740	1.039252
-21.089571	-0.019059	0.875840	0.004762	1.039258
-20.666630	-0.196746	0.880845	0.004686	1.039246
-21.362726	0.064589	0.885850	0.004811	1.039226
-20.630898	-0.344648	0.890854	0.004680	1.039073
-21.912789	0.070107	0.895859	0.004909	1.038949
-21.367498	-0.141757	0.900864	0.004811	1.038956
-20.814883	-0.417549	0.905869	0.004712	1.038884
-22.492767	0.189451	0.910874	0.005012	1.038805
-21.047256	-0.439981	0.915878	0.004753	1.038735
-22.158965	-0.075888	0.920883	0.004952	1.038634
-21.939303	-0.161809	0.925888	0.004913	1.038636
-21.163190	-0.627532	0.930893	0.004774	1.038432
-22.618841	-0.088618	0.935898	0.005034	1.038380
-22.342884	-0.190652	0.940902	0.004984	1.038391
-23.010292	0.014501	0.945907	0.005104	1.038312
-22.257165	-0.264448	0.950912	0.004969	1.038340
-22.463259	-0.409258	0.955917	0.005006	1.038045
-23.479522	-0.008824	0.960922	0.005187	1.038040
-22.462500	-0.403850	0.965926	0.005005	1.038053
-24.121767	0.083869	0.970931	0.005302	1.037828
-23.525646	0.017290	0.975936	0.005195	1.038051
-22.646313	-0.406426	0.980941	0.005038	1.037955
-24.379783	0.109890	0.985946	0.005348	1.037730
-23.318334	-0.306005	0.990950	0.005158	1.037739
-24.245083	0.054313	0.995955	0.005323	1.037728
-23.662772	-0.174469	1.000960	0.005219	1.037732

-24.054998	-0.019652	1.010957	0.005289	1.037731
-24.233086	0.053229	1.020954	0.005321	1.037735
-23.252239	-0.349465	1.030950	0.005145	1.037719
-24.135849	-0.061273	1.040947	0.005303	1.037637
-23.719360	-0.152341	1.050944	0.005228	1.037735
-23.695096	-0.161322	1.060941	0.005223	1.037737
-24.037798	-0.012778	1.070938	0.005284	1.037754
-23.443991	-0.179095	1.080934	0.005178	1.037846
-23.389227	-0.241798	1.090931	0.005168	1.037793
-23.574440	0.005003	1.100928	0.005201	1.038019
-23.118712	-0.235246	1.110925	0.005119	1.037943
-23.715976	-0.016522	1.120922	0.005225	1.037919
-23.272919	-0.093835	1.130918	0.005146	1.038049
-23.097371	-0.166032	1.140915	0.005114	1.038047
